Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
175,50.0502777778,13.3252777778,M,0.030724214,0,0,0,0,0,14,0,0,340
176,50.22,12.4433333333,M,0.848041011,0,0,0,0,0,0,0,0,0
177,50.0502777778,13.3252777778,F,0.028034067,0,0,0,0,0,15,0,0,523
178,49.9066666667,12.425,M,0.866104182,0,0,0,0,0,0,0,0,21
179,50.0502777778,13.3252777778,F,0.030120482,0,0,0,0,0,1,0,0,NA
180,50.2883333333,12.4836111111,M,0.893328446,0,0,0,0,0,0,0,0,28
181,50.2022222222,12.4294444444,F,0.761565836,0,0,0,0,0,0,0,0,0
182,50.0597222222,12.3491666667,M,0.642333089,0,0,0,0,0,0,0,0,44
183,49.9066666667,12.425,M,0.87049301,0,0,0,0,0,3,0,0,12
184,50.1186111111,11.9166666667,F,0.980837473,0,0,0,0,0,0,0,0,53
185,50.0691666667,13.3841666667,F,0.034421576,0,1,0,0,0,0,0,0,190
186,49.9066666667,12.425,M,0.861549761,0,0,0,0,0,0,1,0,12
187,50.1813888889,11.7622222222,F,0.98012775,0,2,0,0,0,0,2,0,29
188,49.9066666667,12.425,M,0.864388093,0,0,0,0,0,0,0,0,0
189,49.8913888889,11.6461111111,F,NA,0,0,0,0,0,0,0,0,12
190,50.1186111111,11.9166666667,F,0.979772889,0,0,0,0,0,0,0,0,23
191,50.1402777778,12.2966666667,F,NA,0,0,0,0,0,0,0,0,0
192,49.8908333333,11.6177777778,F,NA,0,0,0,0,0,0,5,0,0
193,50.0111111111,12.8558333333,M,0.046040516,0,0,0,0,0,0,0,0,61
194,50.0111111111,12.8558333333,M,0.042357274,0,0,0,0,0,0,0,0,2
195,50.0111111111,12.8558333333,F,0.039040115,0,0,0,0,0,0,0,0,13
196,50.1186111111,11.9166666667,F,0.975124378,0,0,0,0,0,0,24,0,12
197,50.1186111111,11.9166666667,M,0.973441534,0,2,0,0,0,0,31,0,0
198,50.1908333333,12.4466666667,M,0.850945495,0,0,0,0,0,0,0,0,23
199,50.1186111111,11.9166666667,F,0.9765625,0,11,0,0,0,0,32,0,0
200,50.1147222222,12.4911111111,F,0.198855508,0,0,0,0,0,0,0,0,2
201,50.0877777778,12.1344444444,F,0.949570815,0,0,0,0,0,0,0,0,14
202,50.0111111111,12.8558333333,M,0.03799336,0,0,0,0,0,1,0,0,13
203,50.0111111111,12.8558333333,F,0.041458184,0,0,0,0,0,4,0,0,131
204,50.0111111111,12.8561111111,F,0.038984263,0,0,0,0,0,0,0,0,25
205,50.1186111111,11.9166666667,F,0.97338538,0,0,0,0,0,0,1,0,0
206,50.1186111111,11.9166666667,F,0.973740241,0,0,0,0,0,0,0,0,2
207,50.0502777778,13.3252777778,M,0.027767494,0,0,0,0,0,0,NA,NA,NA
208,50.1772222222,11.8627777778,M,0.981932153,0,0,0,0,0,0,0,0,0
209,50.1813888889,11.7622222222,F,0.977841315,0,2,3,0,0,0,32,0,91
210,49.9436111111,12.7286111111,F,0.038652482,0,0,0,0,0,0,0,0,0
211,50.0111111111,12.8561111111,F,0.039398281,0,0,0,0,0,0,0,0,58
212,50.0111111111,12.8561111111,M,0.035437431,0,0,0,0,0,0,0,0,18
213,50.1083333333,13.0325,M,0.029878274,0,0,0,0,0,0,9,0,0
